firm,firm_name,member_type,n_orders,n_days,n_tickers,fill_rate_%,delete_rate_%,med_hold_ms,cancel_halflife_s,med_dist_mid_bps,med_dist_mid_ticks,p2m_ci_lo_95,p2m_ci_hi_95,pre_mkt,open,mid,close,cluster
WBPX,Wedbush Securities,principal,1713768,25,3,0.0,100.0,9.88,0.01,710.23,847.27,710.21,710.26,0.0002946723243752947,0.033689507564617846,0.7776128390774014,0.18840181401449904,1
JPMS,J.P. Morgan Securities,agency_broker,530253,25,1,0.0,100.0,7.39,0.007,100.79,87.61,100.75,100.82,0.0,0.09767790092653884,0.6948871576398437,0.20743494143361754,1
WCHV,Wells Fargo Securities,agency_broker,343996,25,1,0.0,100.0,6.2,0.006,390.34,852.53,390.24,390.44,0.0,0.15227211944324934,0.6840457447179619,0.16368213583878882,1
SGAS,Susquehanna Financial Group,principal,29667,25,3,0.0,100.0,35042.25,35.042,694.41,1178.28,693.86,695.18,0.005258367883506927,0.27778339569218324,0.635520949202818,0.08143728722149189,1
UBSS,UBS Securities,agency_broker,15947,25,3,0.947,99.1,637213.0,637.297,2599.56,3615.27,2547.42,2655.35,0.0,0.4169436257603311,0.020317301059760456,0.5627390731799085,1
ETMM,G1 Execution Services,agency_broker,6071,25,3,0.0,100.0,347708.06,347.708,460.5,617.19,443.07,474.69,0.06111019601383627,0.32515236369626094,0.5448855213309175,0.06885191895898533,1
GSCO,Goldman Sachs,agency_broker,5211,25,3,0.0,100.0,754567.61,754.568,297.76,387.55,295.01,300.28,0.11187871809633468,0.27058146229130686,0.5331030512377662,0.08443676837459221,1
SUFI,Susquehanna Fin. (SUFI desk),principal,3588,25,3,0.0,100.0,520365.25,520.365,719.59,969.7,718.47,720.93,0.09364548494983277,0.2940356744704571,0.5423634336677815,0.06995540691192866,1
VIRT,Virtu Financial,principal,1007,25,3,0.0,100.0,839710.48,839.71,1418.22,1744.47,1416.26,1420.36,0.32969215491559084,0.18967229394240318,0.39920556107249255,0.06355511420059583,1
TSSM,Two Sigma Securities,principal,878,25,3,0.0,100.0,3634140.03,3634.14,2799.94,3280.57,2799.56,2800.5,0.46583143507972663,0.24145785876993167,0.2608200455580866,0.03189066059225513,1
GTSM,GTS Securities,principal,449,25,3,0.0,100.0,1987627.44,1987.627,2800.62,3272.56,2799.75,2801.78,0.3986636971046771,0.2873051224944321,0.27839643652561247,0.035634743875278395,1
MLCO,Merrill Lynch / BofA Sec.,agency_broker,444,25,3,0.0,100.0,3794986.32,3794.986,2800.05,3289.73,2799.49,2801.1,0.46621621621621623,0.24324324324324326,0.25675675675675674,0.033783783783783786,1
HRTF,Hudson River Trading,principal,438,25,3,0.0,100.0,2832832.52,2832.833,2801.94,3327.81,2800.62,2803.74,0.3470319634703196,0.3150684931506849,0.3013698630136986,0.0365296803652968,1
STFL,Stifel Nicolaus,agency_broker,426,25,3,5.399,94.6,2757202.87,3217.516,2796.79,2974.46,2795.78,2798.39,0.0,0.6713615023474179,0.29577464788732394,0.03286384976525822,0
MAXM,Maxim Group,agency_broker,412,25,3,0.0,100.0,3145084.44,3145.084,2800.24,3336.85,2799.71,2801.67,0.0,0.6237864077669902,0.33980582524271846,0.03640776699029126,1
CDRG,Citadel Derivatives / Citadel Securities,principal,344,25,3,0.0,100.0,23401223.77,23401.224,2048.27,2374.75,2040.02,2060.96,0.0,0.9011627906976745,0.09883720930232558,0.0,2
