firm,total_submits,total_fills,mean_fill_rate,mean_hold_s,med_hold_s,mean_bid_ask_ratio,mean_iat_s,mean_burst
WBPX,272542,0,0.0,4.9283,0.1442,1.0861,0.0,0.7592
MAXM,113347,0,0.0,4.4184,0.1416,1.0907,0.0353,0.3887
WCHV,112726,0,0.0,4.4356,0.1437,1.0897,0.0362,0.3863
JPMS,109639,0,0.0,4.5042,0.1553,1.0949,0.039,0.3839
UBSS,19730,161,0.0108,473.6821,668.9788,1.987,0.0001,0.8519
ETMM,1015,0,0.0,935.5053,306.2469,1.0331,68.5915,0.1632
IMCC,718,0,0.0,1515.042,544.5376,0.8713,8.5294,0.4471
FLTU,356,0,0.0,2525.4449,595.6047,0.9329,132.9426,0.1578
SGAS,172,0,0.0,7880.2067,772.0142,0.9254,0.198,0.4008
GSCO,87,0,0.0,16373.4261,23341.0542,1.0225,57.9818,0.0414
TSSM,74,0,0.0,12020.4746,13313.4009,0.963,0.0001,0.7253
CDRG,52,0,0.0,15544.2771,17425.7379,1.1297,0.0008,0.6276
SSUS,46,0,0.0,18102.9437,20539.5956,1.125,1.8472,0.4905
SUFI,46,0,0.0,18104.9586,20541.9391,1.125,1.3417,0.5262
SPHN,45,0,0.0,12671.1022,22500.1778,1.3703,97.3428,0.5074
LEER,45,0,0.0,12676.6858,22500.1778,1.3703,94.272,0.5352
NEED,45,0,0.0,12671.4765,22500.1778,1.3703,98.4652,0.563
VERT,45,0,0.0,12678.7142,22500.1778,1.3703,91.6913,0.563
BBAR,45,0,0.0,12669.0464,22500.1778,1.3703,102.2872,0.5352
DADA,45,0,0.0,12682.8872,22500.1778,1.3703,86.575,0.5352
WBSI,45,0,0.0,12669.763,22500.1778,1.3703,100.5018,0.563
CSTI,41,0,0.0,9278.7638,11677.075,0.9667,13.01,0.2964
INTL,41,0,0.0,9278.7633,11677.075,0.9667,13.821,0.2964
CANT,41,0,0.0,9278.7633,11677.075,0.9667,13.821,0.2964
BARD,41,0,0.0,9278.764,11677.0762,0.9667,13.8237,0.2964
ADAM,41,0,0.0,9278.7638,11677.075,0.9667,13.01,0.2964
COWN,41,0,0.0,9278.7642,11677.075,0.9667,13.0083,0.2964
LEHM,41,0,0.0,9304.4861,11698.5569,0.9667,8.9881,0.7357
WBLR,41,0,0.0,9278.7633,11677.075,0.9667,13.821,0.2964
JSSF,41,0,0.0,9278.7644,11677.0762,0.9667,13.8249,0.2964
WABR,41,0,0.0,9278.7593,11677.075,0.9667,11.6813,0.2964
STFL,41,0,0.0,9278.7633,11677.075,0.9667,13.821,0.2964
RAJA,41,0,0.0,9278.7635,11677.075,0.9667,10.111,0.2964
RHCO,41,0,0.0,9278.7633,11677.0762,0.9667,13.8212,0.2964
DVES,40,0,0.0,9531.2532,11684.2086,1.0,0.0,0.7524
RBCM,40,0,0.0,9512.3039,11677.1311,1.0,1.2067,0.3047
KEYB,40,0,0.0,9512.3074,11677.1487,1.0,1.2167,0.3047
SOHO,39,0,0.0,10260.8471,11752.5281,0.963,13.3204,0.6926
VIRT,38,0,0.0,10840.5086,11702.7552,1.0,0.0,0.6889
HRTF,37,0,0.0,10653.1177,11711.4871,0.963,13.7256,0.3166
MLCO,37,0,0.0,12496.2602,13464.5549,0.963,12.0914,0.3166
KING,36,0,0.0,11862.5222,12597.492,1.0,0.0001,0.7185
GTSM,36,0,0.0,11310.827,12082.516,1.0,0.0003,0.7185
XGWD,32,0,0.0,23429.9162,23429.9815,1.0,0.0,0.6667
